title,city,district,description
前端工程师（前后端分离）,福州,晋安,"【工作内容】
岗位职责1、负责web端H5页面、PC页面的设计和开发;2、了解产品后端技术实现提供对应的前端解决方案并配合后端工程师完成数据接口的开发和调试;3、负责模块、组件库开发和相关文档的撰写
【任职要求】
任职要求1、本科及以上学历3年以上工作经验计算机相关专业;2、掌握JavaScript、HTML、CSS等核心前端开发技术熟练使用JQuery、Ajax、Dom、Node.js等相关技术;3、精通 Vue3 / Nuxt / TypeScript / Vite 等前端技术栈并具有良好的组件封装能力4、了解SSR原理有SSR项目开发经验者优先5、对Web技术发展有强烈兴趣有良好的学习能力和强烈的进取心6、具备AI辅助编程能力如熟练使用cursor/ChatGPT等提升研发效率7、有责任心有良好的跨团队(与产品、后端、设计团队)沟通表达能力和团队协作能力
"
前端工程师,济南,章丘,"【工作内容】
岗位职责1. 负责公司内部数据平台、数据报表、管理系统的前端页面开发与迭代2. 完成页面交互、数据可视化展示、接口联调保障页面体验与加载性能3. 配合后端完成需求落地、问题排查与功能优化4. 参与前端规范制定、组件沉淀与开发效率提升
【任职要求】
任职要求1. 本科及以上学历计算机相关专业3年及以上前端开发经验2. 熟练掌握 HTML/CSS/JavaScript/ES6+熟悉浏览器兼容与性能优化3. 精通 Vue 框架能独立完成页面开发  如果会 React且符合需求可以考虑4. 会使用 ECharts/AntV 等数据可视化库有后台管理系统开发经验优先5. 具备良好的沟通能力与逻辑思维能快速理解业务需求6. 具备良好的美术功底和创意能力
"
DDR控制器/PHY-芯片数字前端验证工程师(J12540),苏州,,"【工作内容】
职责描述地点苏州、武汉、大连1、负责DDR控制器和PHY IPLPDDR456/HBM234/GDDR67等模块级和系统级的功能/性能/功耗等验证工作;2、基于设计规格提取验证点并制定验证方案和计划;3、基于c语言sv语言uvm验证方法学搭建验证环境规划验证用例高效达成验证交付的完备性;4、和设计团队紧密合作深入理解设计规格提取验证特性识别验证难点制定验证策略;5、探索验证的新流程新技术新工具和方法学并导入项目
【任职要求】
任职要求1、微电子、电子工程等相关专业本科及硕士以上学历2年以上芯片数字前端验证等相关工作经验2、熟悉ARM总线接口AXI/AHB/CHI/ACE/CXS和DFI 接口协议等优先3、有DDR控制器或PHY验证经验者优先4、熟悉Vmanger等验证流程管理工具的优先5、有RTL代码分析能力的优先6、熟练使用相关EDA工具7、熟练使用tcl/perl/shell/Python/Makefile等工具编程脚本能力强者优先8、能够熟练使用英语进行写作和交流的优先9、思维灵活有系统观念具备较强的分析和解决问题能力、团队合作精神和良好的沟通技巧
"
前端开发工程师,广州-海珠区,广州-海珠区,"任职要求
1、本科及以上学历，计算机科学与技术、软件开发、电子信息等相关专业毕业，具备扎实的计算机基础知识。；
2、2年以上Web前端工作经验，有大型项目开发经验者优先；
3、精通 HTML5、CSS3（Flex/Grid 布局）、JavaScript (ES6+)等前端核心技术；
4、熟练掌握 Vue.js 全家桶；
5、拥有微信小程序实际开发经验；
6、有Uni-app 等跨端框架开发经验；
7、熟练使用前端代码管理及打包工具；
8、具备前端性能优化经验，了解常见的性能优化手段和工具，能够独立分析并解决前端性能瓶颈问题；
9、具有一定的设计能力和需求分析能力，有良好的逻辑思维能力和问题解决能力，能够独立承担复杂任务的开发工作；
10、具有良好的沟通能力和团队合作精神，能够与不同岗位的同事高效配合；
11、有较强的学习能力和创新精神，对新技术充满热情，能够快速掌握并应用到实际工作中。

岗位职责
1、承担WEB页面及移动端APP的设计、开发、维护工作，对代码质量及进度负责；
2、根据业务需求文档完成前端研发工作，实现高性能、高可用、用户体验优秀的前端界面，确保页面在不同设备和浏览器上的兼容性与一致性；
3、参与前端技术架构设计与优化，结合业务场景制定合理的前端技术方案，提升开发效率和系统稳定性；
4、与后端工程师紧密协作，完成前后端接口联调，保障数据交互的顺畅与安全；
5、 持续关注前端页面性能，通过代码优化、资源压缩、缓存策略等多种手段，提升页面加载速度和运行流畅度，降低用户等待时间，优化用户体验；
6、跟踪前端技术发展趋势，研究并引入新的前端框架、工具和技术，推动团队技术栈的升级与创新，提升团队整体技术水平；
7、参与制定前端代码规范，负责代码的自测与Review工作，确保代码质量、可维护性和可扩展性。协助测试工程师进行前端功能测试和Bug修复，保障产品上线质量；
8、积极参与团队技术交流与分享活动，将自己的技术经验和实践传递给团队成员，共同提升团队开发能力。参与产品需求讨论，从前端技术角度提出合理建议，推动产品优化与迭代。
"
WEB前端开发90530/南京,南京,建邺,"【工作内容】
工作内容1.负责智能网联大数据应用Web前端核心模块的设计、开发工作 2.负责智能网联大数据应用Web前端开发规范的制定及开发流程优化 3.负责与UI设计师和后台微服务团队配合完成页面功能实现 4.负责服务端接口测试、web端UI单元测试、线上问题排查 5.负责Web前端设计、开发文档编写及维护
【任职要求】
任职要求1.本科以上学历5年以上Web端开发工作经验 2.熟悉HTML5、CSS3、ES6标准掌握DOM、BOM、AJAX、WebSocket等基础核心技术 3.熟悉Web前端开发有丰富的实战经验,会使用组件化以及模块化开发 4.掌握VUE、React前端开发框架技术掌握JavaScript有中大型系统实际开发经验 5.对用户体验、交互操作流程、及用户需求有深入理解 6.熟练使用GitJenkins等版本管理与自动化部署工具 7.较强的学习能力逻辑分析能力以及问题排查能力
"
前端实习生,杭州,西湖,"【工作内容】
岗位职责1、协助前端团队完成Web/小程序项目基于Vue2/Vue3、UniApp技术栈的页面开发、组件封装与优化保障页面在多浏览器、多终端的兼容性与响应式体验2、参与产品需求研讨与技术方案设计从前端视角提出提升用户体验与开发效率的建议3、负责页面交互效果的实现与调试配合后端工程师完成接口联调确保功能稳定落地4、协助维护前端开发规范与文档整理技术沉淀参与团队内部技术分享5、主动学习前端新技术如TypeScript、微前端等并尝试在项目中实践应用
【任职要求】
任职要求1、本科及以上学历计算机、软件工程、数字媒体等相关专业优先非相关专业有扎实前端基础者也可投递2、熟练掌握HTML5、CSS3、JavaScript核心语法深入理解Flex/Grid布局、盒模型、DOM/BOM操作了解HTTP协议基础3、 至少熟悉一种主流前端框架优先掌握Vue2/Vue3有UniApp开发经验者大幅加分有相关项目开发经验课程设计、个人项目均可、Vue/UniApp相关项目优先或个人作品集者优先4、了解前端工程化工具webpack、vite、npm/yarn的基本使用有TypeScript使用经验者加分5、 具备良好的逻辑思维、问题排查能力和自学能力能快速跟进技术迭代6、工作积极主动有责任心具备良好的团队协作意识和沟通能力乐于接受挑战。截止日期2027年03月18日招聘人数1人
"
全栈工程师（偏前端）,北京,东城,"【工作内容】
岗位职责负责 AI 类产品的前端开发工作涵盖文字聊天陪伴、语音交互、图片/视频生成等核心功能模块基于 React 技术栈完成 H5 端与 PC 端的页面开发、性能优化及维护迭代参与移动端 App 的开发建设推动产品从 Web 向原生客户端的延伸落地与产品、设计、后端紧密协作将交互原型高质量还原为可交付的前端代码合理运用 AI Coding 工具如 Cursor、GitHub Copilot 等提升研发效率探索 AI 辅助开发的实践关注前端新技术与 AI 行业动态持续推动技术选型与架构优化
【任职要求】
任职要求本科及以上学历计算机、软件工程或相关专业3 年以上前端开发经验精通 React 及其生态React Router、Redux / Zustand、React Query 等具备扎实的组件化开发与状态管理能力熟练掌握 HTML5 / CSS3 / JavaScriptES6+/ TypeScript能够独立完成复杂页面的开发与适配有 H5 端与 PC 端双端开发及响应式布局经验熟悉常见的跨端兼容方案熟悉前端工程化工具链Vite / Webpack、ESLint、CI/CD 等有良好的代码规范意识有 流式数据渲染如 SSE、WebSocket或音视频相关前端开发经验者优先能够熟练使用 AI Coding 工具辅助日常开发具备较强的 Prompt 调试与结果甄别能力具备良好的沟通协作能力能在快节奏迭代环境中高效推进任务。加分项有 React Native 开发经验能够参与或独立完成跨平台 App 的开发有 Android / iOS 原生客户端开发经验Java/Kotlin 或 Swift/ObjectiveC有 AI 产品从 0 到 1 的前端建设经验深度参与过 LLM 对话、语音识别/合成、AIGC 生图/视频等功能模块
"
高级前端工程师,杭州,上城,"【工作内容】
1.专业要求计算机科学与技术、软件工程、网络工程、电子信息工程、通信工程、自动化、信息管理与信息系统、数学与应用数学专业2.学历要求全日制本科及以上学历3.学位要求学士学位及以上4.年龄要求35周岁及以下5.工作年限及经历要求3年及以上前端工作经验有低代码平台框架经验需提交开源项目地址或证明6.其他要求职称、资格等等无
【任职要求】

"
前端开发,北京,朝阳,"【工作内容】
岗位职责1、负责公司电力交易辅助平台项目的前端开发、代码重构、性能优化等工作2、负责公司战略产品移动端功能开发3、项目重难点进行技术攻关对项目代码及架构进行优化重构
【任职要求】
任职要求1、本科及以上学历、5年及以上相关工作经验、优秀者可放宽2、扎实的基础知识掌握JavaScript(ES6)、HTML5、CSS3 等3、熟练掌握Vue2、Vue3等前端框架并能对前端进行模块化开发4、熟练掌握前端打包工具如Webpack、Vite5、掌握至少一种数据可视化框架如EChartsD36、熟悉Flutter框架、Dart语言熟练使用各种Flutter布局、动画并对Java 或OC有一定的了解7、熟悉Tauri框架有项目经验优先8、熟悉微信小程序开发并熟练使用相关框架如uniapp、taro等9、具有良好的沟通能力、团队协作能力、独立解决问题的能力加分项1、具有证券类系统可视化图表开发经验者优先2、具有Chrome插件开发经验者优先公司亮点1、项目前景好、可持续发展性强2、团队注重效率、工作氛围好
"
前端开发工程师,苏州,,"【工作内容】
工作职责1主要负责部门Web和Mobile产品的前端页面功能的开发2负责相关前端框架维护和产品应用项目支持3阶段性需要配合项目出差的需求
【任职要求】
任职要求1熟练使用html5、css3、es610、Typescript等 Web 前端技术2熟练使用 vue3.x、 Vue2.x 、unocss、vueuse、 NaiveUI 等前端框架以及 Flutter 等跨平台框架3熟练使用Node.js 等4熟练使用 ECharts、Git等5会使用Nginx、pm2、MQTT 等6熟练使用Cursor、Vscode等开发工具
"
